Date,Confirmed,Recovered,Deaths,Day_deaths,Day_confirmed,Day_recovered,Rt,Rt2,Rate_conf,Rate_ill,Region,Remaining_ill,MA7_dayconfirmed,MA14_dayconfirmed,MA7_remaining_ill,MA14_remaining_ill,Change_dayconf,Change_remill
2020-05-13,271,187,8,1,19,3,1.7,1.176,0.11185820836996586,0.03957179156079477,Адыгея,76,9.857142857142858,8.357142857142858,70.14285714285714,83.71428571428571,8,15
2020-05-14,276,207,8,0,5,20,2.364,1.206,0.10941743146544035,0.03105748179827911,Адыгея,61,10.0,8.071428571428571,66.71428571428571,80.07142857142857,-14,-15
2020-05-15,307,214,8,0,31,7,1.886,1.233,0.11679976259592229,0.04203779445002201,Адыгея,85,13.571428571428571,10.142857142857142,65.85714285714286,78.0,26,24
2020-05-16,347,222,8,0,40,8,2.375,1.282,0.12755336472542944,0.05670252980517592,Адыгея,117,18.142857142857142,12.785714285714286,72.14285714285714,78.21428571428571,9,32
2020-05-17,398,222,8,0,51,0,2.49,1.344,0.14125897952809563,0.07933959234561838,Адыгея,168,24.857142857142858,15.714285714285714,89.85714285714286,83.35714285714286,11,51
2020-05-18,430,240,8,0,32,18,2.962,1.425,0.14793001190320562,0.08358324110091069,Адыгея,182,27.0,17.5,107.14285714285714,90.57142857142857,-19,14
2020-05-19,461,249,8,0,31,9,2.333,1.479,0.1536968937224321,0.09231855331396453,Адыгея,204,29.857142857142858,19.357142857142858,127.57142857142857,99.71428571428571,-1,22
2020-05-20,525,263,8,0,64,14,1.874,1.51,0.17006527267132052,0.11527586785936345,Адыгея,254,36.285714285714285,23.071428571428573,153.0,111.57142857142857,33,50
2020-05-21,561,274,8,0,36,11,1.283,1.489,0.17666286678801085,0.12580374615599665,Адыгея,279,40.714285714285715,25.357142857142858,184.14285714285714,125.42857142857143,-28,25
2020-05-22,591,290,8,0,30,16,1.045,1.443,0.18103955300691074,0.13117014513775105,Адыгея,293,40.57142857142857,27.071428571428573,213.85714285714286,139.85714285714286,-6,14
2020-05-23,622,290,9,1,31,0,1.045,1.405,0.1851840825051655,0.14383811754646905,Адыгея,323,39.285714285714285,28.714285714285715,243.28571428571428,157.71428571428572,1,30
2020-05-24,671,295,9,0,49,5,0.82,1.348,0.1947857791866605,0.161218761119482,Адыгея,367,39.0,31.928571428571427,271.7142857142857,180.78571428571428,18,44
2020-05-25,696,295,9,0,25,0,0.828,1.305,0.19692892733152814,0.16969990822351902,Адыгея,392,38.0,32.5,301.7142857142857,204.42857142857142,-24,25
2020-05-26,721,300,9,0,25,5,0.807,1.268,0.1989832809886792,0.18117375970730765,Адыгея,412,37.142857142857146,33.5,331.42857142857144,229.5,0,20
2020-05-27,759,307,9,0,38,7,0.851,1.238,0.2047588216251214,0.19732387841642018,Адыгея,443,33.42857142857143,34.857142857142854,358.42857142857144,255.71428571428572,13,31
2020-05-28,783,322,9,0,24,15,0.767,1.21,0.20656850925073408,0.20186141231533253,Адыгея,452,31.714285714285715,36.214285714285715,383.14285714285717,283.64285714285717,-14,9
2020-05-29,794,332,9,0,11,10,0.726,1.185,0.20483820619519483,0.20223936569163184,Адыгея,453,29.0,34.785714285714285,406.0,309.92857142857144,-13,1
2020-05-30,813,354,9,0,19,22,0.708,1.162,0.2050053583811385,0.20039990915204117,Адыгея,450,27.285714285714285,33.285714285714285,424.14285714285717,333.7142857142857,8,-3
2020-05-31,854,371,9,0,41,17,0.693,1.139,0.2104261992938156,0.20674584654573053,Адыгея,474,26.142857142857142,32.57142857142857,439.42857142857144,355.57142857142856,22,24
2020-06-01,874,394,9,0,20,23,0.812,1.127,0.21066433987822927,0.2011565433532924,Адыгея,471,25.428571428571427,31.714285714285715,450.7142857142857,376.2142857142857,-21,-3
2020-06-02,890,413,9,0,16,19,0.98,1.122,0.21003395942332698,0.20196876389074697,Адыгея,468,24.142857142857142,30.642857142857142,458.7142857142857,395.07142857142856,-4,-3
2020-06-03,904,465,9,0,14,52,0.989,1.118,0.20912516742736717,0.186062612232535,Адыгея,430,20.714285714285715,27.071428571428573,456.85714285714283,407.64285714285717,-2,-38
2020-06-04,937,487,9,0,33,22,0.874,1.111,0.21241963419389356,0.19082565631477147,Адыгея,441,22.0,26.857142857142858,455.2857142857143,419.2142857142857,19,11
2020-06-05,962,519,9,0,25,32,0.967,1.107,0.2138566671260954,0.18737102052446616,Адыгея,434,24.0,26.5,452.57142857142856,429.2857142857143,-8,-7
2020-06-06,995,540,10,1,33,21,1.094,1.107,0.21692257717102437,0.19216153660137492,Адыгея,445,26.0,26.642857142857142,451.85714285714283,438.0,8,11
