"Страна","Дата","Заражений","Выздоровлений","Смертей","Заражений за день","Выздоровлений за день","Смертей за день"
Тринидад и Тобаго,28.09.2020,4386,2275,72,24,41,1
Зимбабве,18.02.2020,0,0,0,0,0,0
Буркина-Фасо,25.11.2020,2777,2567,68,20,10,0
Перу,06.01.2021,1022018,962566,37925,2543,1863,95
Мавритания,06.12.2020,9516,7849,188,157,14,4
Намибия,05.07.2020,412,25,0,37,0,0
Венгрия,25.06.2020,4123,2640,577,9,22,1
Швейцария,25.01.2020,0,0,0,0,0,0
Эстония,30.10.2020,4771,3747,73,100,63,0
Япония,23.02.2020,149,22,2,12,0,0
ЦАР,09.08.2020,4641,1721,60,0,5,1
Египет,12.11.2020,110095,100760,6417,214,98,12
Греция,27.08.2020,9531,3804,254,251,0,6
Филиппины,27.07.2020,82040,26446,1945,1592,336,13
Сенегал,27.07.2020,9764,6477,194,83,68,3
Ирландия,13.11.2020,67099,23364,1972,467,0,7
Ангола,22.12.2020,16802,9729,393,116,34,3
Польша,21.05.2020,20143,8452,972,404,269,10
Восточный Тимор,02.08.2020,24,24,0,0,0,0
Антигуа и Барбуда,03.09.2020,95,91,3,1,0,0
Финляндия,12.06.2020,7073,6200,325,9,0,0
Афганистан,15.01.2021,53831,45434,2324,56,136,10
Бангладеш,08.09.2020,329251,227809,4552,1892,3236,36
Коста-Рика,15.06.2020,1744,771,12,29,19,0
Никарагуа,16.01.2021,6152,4225,167,0,0,0
Мозамбик,18.12.2020,17338,15365,146,82,108,1
Сальвадор,18.11.2020,36965,33517,1056,296,453,4
Багамские острова,15.04.2020,49,6,8,0,0,0
Гвинея,24.09.2020,10434,9801,65,0,0,0
Румыния,26.01.2020,0,0,0,0,0,0
Эритрея,06.02.2020,0,0,0,0,0,0
Аргентина,06.01.2021,1676171,1474048,43976,13441,7432,191
Marshall Islands,26.02.2020,0,0,0,0,0,0
Сингапур,30.06.2020,43907,38500,26,246,515,0
Бенин,17.01.2021,3413,3245,46,0,0,0
Малайзия,08.03.2020,99,24,0,6,1,0
Чад,08.05.2020,260,50,28,7,0,1
Черногория,15.11.2020,27177,17387,391,491,236,6
Кот-д’Ивуар,16.03.2020,1,0,0,0,0,0
Швеция,19.05.2020,31818,0,3743,667,0,45
Мальта,25.03.2020,129,2,0,19,0,0
Великобритания,19.09.2020,392845,2227,41848,4429,14,27
Иран,03.07.2020,235429,196446,11260,2566,2348,154
Андорра,20.08.2020,1024,875,53,0,0,0
Босния и Герцеговина,08.09.2020,21961,15172,669,301,342,5
Гватемала,28.01.2021,157595,142320,5543,1098,839,30
Сомали,21.09.2020,3465,2877,98,23,0,0
Сент-Винсент и Гренадины,09.07.2020,29,29,0,0,0,0
Тунис,25.10.2020,48799,5032,819,0,0,0
Панама,19.04.2020,4273,140,120,63,18,4
Мадагаскар,08.11.2020,17223,16516,249,112,107,5
Боливия,08.09.2020,122308,75098,7097,704,1948,43
Оман,27.02.2020,4,0,0,0,0,0
Канада,19.06.2020,102314,64318,8580,437,536,25
Замбия,01.11.2020,16480,15733,349,48,53,0
Молдавия,17.01.2021,152854,143150,3250,214,481,5
Буркина-Фасо,16.04.2020,546,257,32,4,31,0
Ливан,10.12.2020,142187,95737,1170,1778,1695,14
Зимбабве,22.01.2021,30523,21080,962,476,1511,45
Габон,17.06.2020,4229,1505,30,115,73,1
Ямайка,14.07.2020,762,643,10,3,15,0
ДР Конго,10.03.2020,0,0,0,0,0,0
Южная Корея,26.01.2020,3,0,0,1,0,0
Сирия,07.08.2020,1060,311,48,61,0,0
Гана,22.04.2020,1154,99,9,112,0,0
Эстония,12.05.2020,1746,777,61,5,26,0
Беларусь,25.09.2020,76957,73925,807,306,192,5
Литва,29.06.2020,1816,1512,78,1,9,0
Португалия,30.10.2020,137272,77449,2468,4656,1747,40
Куба,26.06.2020,2325,2180,85,4,9,0
Швейцария,07.08.2020,36269,31600,1986,161,0,1
Малави,13.09.2020,5690,3731,177,12,7,0
Перу,05.03.2020,0,0,0,0,0,0
Пакистан,07.10.2020,316934,302375,6544,583,1087,9
Сан-Марино,22.01.2021,2861,2597,65,28,41,0
Армения,25.02.2020,0,0,0,0,0,0
Австрия,16.02.2020,0,0,0,0,0,0
Саудовская Аравия,28.12.2020,362339,353353,6196,119,174,11
Гаити,20.12.2020,9674,8336,234,26,0,0
Суринам,06.11.2020,5227,5102,112,2,5,0
Кения,21.03.2020,7,0,0,0,0,0
Лихтенштейн,08.08.2020,89,85,1,0,0,0
Гамбия,10.03.2020,0,0,0,0,0,0
Катар,28.08.2020,118196,115017,196,208,220,1
Бурунди,19.11.2020,641,575,1,0,0,0
Бразилия,07.02.2020,0,0,0,0,0,0
Папуа — Новая Гвинея,29.01.2020,0,0,0,0,0,0
Судно "MS Zaandam",04.05.2020,9,0,2,0,0,0
Венгрия,08.01.2021,337743,186449,10440,2907,6908,115
Намибия,26.01.2021,32957,30432,328,307,162,9
Ямайка,09.04.2020,63,12,4,0,2,0
Перу,23.06.2020,260810,148437,8404,3363,3117,181
Беларусь,03.06.2020,45116,20171,248,861,976,5
Эстония,30.08.2020,2373,2088,64,10,2,0
Италия,15.11.2020,1178529,420810,45229,33977,9376,546
Литва,07.03.2020,1,0,0,0,0,0
Куба,04.03.2020,0,0,0,0,0,0
Швейцария,18.03.2020,3028,15,28,328,11,1
ДР Конго,28.06.2020,6827,985,157,137,48,4
Сирия,18.03.2020,0,0,0,0,0,0
Республика Конго,03.12.2020,5774,4988,94,0,0,0
Гана,11.09.2020,45388,44267,285,75,79,2
Буркина-Фасо,09.09.2020,1476,1118,56,10,6,0
Тринидад и Тобаго,04.12.2020,6735,5884,121,10,23,0
ЮАР,25.10.2020,715868,646170,18968,1622,1529,24
Дания,02.11.2020,48753,35917,724,942,452,1
Словения,17.11.2020,56937,36519,876,1393,1132,45
Габон,05.10.2020,8808,8135,54,11,68,0
Малави,09.06.2020,455,55,4,12,0,0
Катар,06.05.2020,17972,2070,12,830,146,0
Судно "MS Zaandam",22.08.2020,9,0,2,0,0,0
Папуа — Новая Гвинея,29.01.2021,851,812,9,0,0,0
Йемен,07.02.2020,0,0,0,0,0,0
Ботсвана,09.02.2020,0,0,0,0,0,0
Северная Македония,23.11.2020,55127,32894,1546,384,528,35
Китай,19.01.2021,99191,92088,4807,165,69,2
Таджикистан,24.12.2020,13106,12578,89,35,42,0
Армения,20.07.2020,34981,23502,650,104,208,9
Австрия,11.07.2020,18783,16864,706,74,56,0
Белиз,10.12.2020,8805,4141,183,286,66,0
Непал,09.02.2020,1,0,0,0,0,0
Гамбия,17.08.2020,1872,401,63,0,0,0
Ливия,01.02.2020,0,0,0,0,0,0
Лихтенштейн,15.03.2020,4,1,0,0,0,0
Кения,10.08.2020,26928,13495,423,492,534,3
Пакистан,15.06.2020,148921,56390,2839,4443,2669,110
Доминиканская Республика,01.12.2020,144302,115530,2333,314,311,2
Багамские острова,03.08.2020,679,91,14,31,0,0
Япония,01.08.2020,37804,25347,1012,1570,573,4
Бангладеш,19.04.2020,2456,75,91,312,9,7
Греция,23.05.2020,2876,1374,171,2,0,2
Коста-Рика,07.10.2020,83497,50295,1024,1355,275,20
Польша,25.08.2020,63073,42784,1977,763,336,17
Сенегал,04.04.2020,219,72,2,12,6,1
Антигуа и Барбуда,16.05.2020,25,19,3,0,0,0
Восточный Тимор,14.04.2020,6,1,0,2,0,0
Афганистан,29.01.2020,0,0,0,0,0,0
Финляндия,04.10.2020,10538,8100,345,147,0,0
ЦАР,16.03.2020,1,0,0,0,0,0
Ирак,29.10.2020,467755,394386,10815,3804,3376,45
Гвинея,17.04.2020,477,59,3,39,10,2
Израиль,28.11.2020,334908,321801,2856,580,428,10
Филиппины,04.04.2020,3094,57,144,76,5,8
Оман,18.07.2020,65504,42772,308,1311,1322,10
Боливия,19.04.2020,520,31,32,27,0,1
Турция,21.11.2020,440805,370825,12219,5532,3233,135
Мальта,29.06.2020,670,639,9,0,3,0
Андорра,27.03.2020,267,1,3,43,0,0
Босния и Герцеговина,19.04.2020,1285,347,48,17,9,1
Великобритания,15.06.2020,273888,1284,39480,1031,1,29
Кабо-Верде,17.12.2020,11502,11137,110,44,31,0
Сент-Винсент и Гренадины,18.02.2020,0,0,0,0,0,0
Швеция,23.08.2020,83171,0,5810,57,0,0
Чад,26.08.2020,998,873,77,3,2,0
Сомали,17.06.2020,2696,685,88,38,36,0
Малайзия,30.06.2020,8639,8354,121,2,20,0
Вьетнам,03.01.2021,1494,1339,35,12,2,0
Кот-д’Ивуар,09.08.2020,16715,12926,105,95,33,1
Панама,26.09.2020,110108,86796,2323,677,638,12
Чили,27.10.2020,504525,481379,14026,927,1502,23
Азербайджан,12.12.2020,171423,107635,1883,4268,4085,43
Иран,11.03.2020,9000,2959,354,958,228,63
Marshall Islands,17.07.2020,0,0,0,0,0,0
Сан-Томе и Принсипи,28.10.2020,943,903,15,2,1,0
Сингапур,08.03.2020,150,78,0,12,0,0
Канада,15.03.2020,252,8,1,54,0,0
Таджикистан,21.05.2020,2350,470,44,210,0,3
Северная Македония,18.04.2020,1170,164,49,53,25,0
Китай,21.02.2020,75576,18706,2239,475,690,0
Ботсвана,23.07.2020,592,48,1,70,0,0
Йемен,25.07.2020,1674,780,474,0,1,5
Папуа — Новая Гвинея,15.04.2020,2,0,0,0,0,0
Бразилия,06.04.2020,12161,127,564,1031,0,78
Люксембург,28.11.2020,33409,24073,300,0,0,0
Бурунди,11.09.2020,469,374,1,0,0,0
Катар,05.11.2020,133619,130680,232,249,266,0
Мьянма,17.08.2020,376,331,6,1,2,0
Доминиканская Республика,13.06.2020,22572,13084,577,564,330,9
Сан-Марино,09.07.2020,699,656,42,1,0,0
Пакистан,29.11.2020,398024,341423,8025,2839,1613,40
Кения,22.01.2020,0,0,0,0,0,0
Белиз,04.06.2020,18,16,2,0,0,0
Гаити,14.10.2020,8887,7182,230,5,42,0
Суринам,23.08.2020,3607,2688,58,38,129,1
Ливия,31.07.2020,3621,618,74,183,14,1
Саудовская Аравия,02.07.2020,197608,137669,1752,3383,4909,54
Непал,23.07.2020,18241,12840,43,147,156,1
Куба,07.01.2021,13479,11390,148,314,142,0
Литва,04.01.2021,147997,77832,1950,1360,470,307
Беларусь,11.12.2020,156359,133930,1246,1967,1845,8
Венгрия,03.03.2020,0,0,0,0,0,0
Грузия,02.01.2021,228752,217973,2572,342,2981,44
Намибия,14.02.2020,0,0,0,0,0,0
Монако,04.01.2021,917,743,3,10,10,0
Словения,24.04.2020,1373,211,80,7,0,1
Ливан,26.09.2020,35242,15434,340,1280,656,7
Тринидад и Тобаго,10.06.2020,117,109,8,0,0,0
ЮАР,17.05.2020,15515,7006,264,1160,528,3
Дания,09.05.2020,10517,8291,526,101,166,4
Зимбабве,09.07.2020,885,206,9,0,0,0
Уганда,23.11.2020,18165,8675,181,197,64,9
Республика Конго,11.06.2020,728,221,24,0,0,0
Южная Корея,17.03.2020,8320,1407,81,84,270,6
Южный Судан,30.03.2020,0,0,0,0,0,0
Тунис,04.09.2020,4542,1699,87,148,18,3
Кабо-Верде,28.05.2020,390,155,4,0,0,0
Экваториальная Гвинея,15.08.2020,4821,2182,83,0,0,0
Сент-Винсент и Гренадины,22.01.2021,690,126,2,0,0,0
Гватемала,07.07.2020,24787,3575,1004,815,146,23
Босния и Герцеговина,22.11.2020,80006,44416,2276,697,623,30
Молдавия,14.07.2020,19708,13033,655,269,240,6
Боливия,22.11.2020,143978,119338,8907,56,158,3
Бенин,14.07.2020,1378,557,26,0,0,0
Узбекистан,23.07.2020,18986,10149,103,607,277,5
Сан-Томе и Принсипи,14.05.2020,235,4,7,15,0,1
Сингапур,03.01.2021,58697,58487,29,35,11,0
Азербайджан,02.06.2020,5935,3564,71,273,56,3
Чили,15.05.2020,44531,16614,394,2502,959,26
Иран,31.12.2020,1225142,988833,55223,6389,10119,128
Вьетнам,08.03.2020,30,16,0,12,0,0
Кот-д’Ивуар,23.01.2020,0,0,0,0,0,0
Кувейт,13.06.2020,35466,25882,289,514,834,4
Никарагуа,19.07.2020,3147,2282,99,0,0,0
Мозамбик,20.10.2020,11190,9007,78,110,171,3
Сальвадор,12.09.2020,26851,17874,782,78,441,5
Бангладеш,22.11.2020,447341,362428,6388,2060,2076,38
Сербия,14.11.2020,81086,0,989,3822,0,17
Лесото,06.09.2020,1148,528,31,0,0,0
Аргентина,23.06.2020,47203,13576,1078,2272,423,35
Россия,19.03.2020,199,9,1,52,1,1
Эритрея,07.04.2020,31,0,0,0,0,0
Багамские острова,29.01.2020,0,0,0,0,0,0
Румыния,17.03.2020,184,16,0,26,7,0
Израиль,16.06.2020,19634,15534,306,300,54,1
Ирак,13.05.2020,3032,1966,115,119,63,3
Антигуа и Барбуда,26.10.2020,124,108,3,0,0,0
Самоа,21.08.2020,0,0,0,0,0,0
Восточный Тимор,30.01.2021,70,55,0,1,1,0
Ирландия,21.09.2020,33121,23364,1792,188,0,0
Андорра,06.04.2020,525,31,21,24,5,3
Босния и Герцеговина,11.05.2020,2141,1114,113,24,8,6
Сент-Винсент и Гренадины,11.03.2020,0,0,0,0,0,0
Экваториальная Гвинея,08.02.2020,0,0,0,0,0,0
Кабо-Верде,11.12.2020,11262,10894,110,59,58,1
Турция,01.10.2020,320070,281151,8262,1407,1402,67
Черногория,22.04.2020,315,116,5,2,15,0
Боливия,11.05.2020,2831,299,122,275,26,4
Швеция,14.12.2020,320098,0,7514,0,0,0
Оман,26.06.2020,36034,19482,153,1132,962,9
Marshall Islands,25.06.2020,0,0,0,0,0,0
Сингапур,15.02.2020,72,18,0,5,1,0
Сан-Томе и Принсипи,19.11.2020,974,920,16,7,0,0
Панама,10.11.2020,141302,119707,2817,971,996,9
Кот-д’Ивуар,30.07.2020,15978,11160,100,165,367,1
Мадагаскар,15.05.2020,238,112,0,8,4,0
Малайзия,06.07.2020,8668,8476,121,5,11,0
Вьетнам,25.01.2021,1549,1425,35,1,14,0
Чад,21.09.2020,1153,967,81,2,0,0
Азербайджан,06.12.2020,146679,88497,1632,4356,2517,39
Иран,18.02.2020,0,0,0,0,0,0
Замбия,06.05.2020,146,101,4,8,9,1
Чили,18.11.2020,534558,510766,14897,948,1365,14
Бангладеш,11.05.2020,15691,2902,239,1034,252,11
Япония,21.01.2021,352129,273031,4872,5621,8200,93
Коста-Рика,13.10.2020,90238,53670,1124,1015,423,16
Египет,17.04.2020,2844,646,205,171,50,9
Ангола,27.05.2020,71,18,4,1,0,0
Багамские острова,13.08.2020,1089,138,15,53,16,0
Польша,12.12.2020,1126700,840541,22676,11499,25185,502
Ирак,24.11.2020,539749,469784,12031,2292,2130,35
ЦАР,11.04.2020,8,0,0,0,0,0
Афганистан,13.02.2020,0,0,0,0,0,0
Филиппины,29.03.2020,1418,42,71,343,7,3
Израиль,20.12.2020,374760,348107,3099,1874,2517,25
Сенегал,29.03.2020,142,27,0,12,9,0
Финляндия,10.10.2020,11849,8500,346,269,0,0
Восточный Тимор,19.03.2020,0,0,0,0,0,0
Антигуа и Барбуда,20.04.2020,23,3,3,0,0,0
Самоа,06.02.2020,0,0,0,0,0,0
Таджикистан,02.12.2020,12269,11677,87,38,37,1
Китай,09.01.2021,97518,91350,4798,131,93,2
Северная Македония,01.11.2020,32436,21090,1004,864,359,10
Катар,30.04.2020,13409,1372,10,845,129,0
Нидерланды,29.06.2020,50433,186,6126,78,0,2
Судно "MS Zaandam",17.09.2020,9,0,2,0,0,0
Гамбия,05.01.2021,3812,3677,125,12,8,1
Доминиканская Республика,27.12.2020,166764,128604,2404,824,738,0
Пакистан,24.05.2020,56349,17482,1167,1748,284,34
Австрия,01.07.2020,17873,16491,705,107,13,0
Армения,24.06.2020,21717,10797,386,711,653,14
Кения,04.08.2020,23202,9327,388,605,587,6
Лихтенштейн,10.04.2020,79,70,1,1,4,0
Ливия,26.01.2020,0,0,0,0,0,0
Белиз,16.12.2020,9672,4628,212,161,114,1
Эстония,09.09.2020,2585,2213,64,21,18,0
Беларусь,28.05.2020,39858,16660,219,902,737,5
Швейцария,09.04.2020,24051,10600,948,771,800,53
Куба,27.02.2020,0,0,0,0,0,0
Литва,14.02.2020,0,0,0,0,0,0
Италия,29.09.2020,313011,226506,35875,1647,1316,24
Намибия,04.01.2021,25386,21167,218,270,112,3
Венгрия,14.01.2021,347636,220304,11066,1926,4851,118
Перу,19.07.2020,353590,241955,13187,4090,3869,189
Дания,12.11.2020,59478,45204,755,1012,1210,2
ЮАР,20.11.2020,762763,707040,20759,3105,4496,88
Тринидад и Тобаго,14.12.2020,6885,6180,123,6,35,1
Буркина-Фасо,30.08.2020,1357,1058,55,5,0,0
Португалия,08.05.2020,27268,2422,1114,553,164,9
Габон,15.10.2020,8869,8395,54,0,0,0
Словения,07.11.2020,44270,20767,531,1612,1942,34
ДР Конго,08.07.2020,7432,3226,182,0,0,0
Гана,05.09.2020,44777,43693,283,0,0,0
Республика Конго,25.12.2020,6571,4988,100,0,0,0
Сирия,09.04.2020,19,4,2,0,0,0
Сербия,30.09.2020,33551,0,749,72,0,0
Аргентина,19.07.2020,126755,54105,2260,4231,1498,40
Руанда,06.04.2020,105,4,0,1,0,0
Лесото,24.12.2020,2725,1466,51,0,0,0
Румыния,08.04.2020,4761,528,220,344,68,23
Эритрея,28.03.2020,6,0,0,0,0,0
Мозамбик,24.09.2020,7399,4558,51,137,208,2
Никарагуа,23.06.2020,2170,1238,74,347,0,10
Сальвадор,06.09.2020,26308,15815,759,102,228,7
Бангладеш,31.10.2020,407684,324145,5923,1320,1442,18
Антигуа и Барбуда,21.11.2020,139,128,4,0,1,0
Самоа,26.07.2020,0,0,0,0,0,0
Ирландия,26.08.2020,28363,23364,1777,162,0,0
Израиль,25.05.2020,16683,14252,284,22,131,2
Ирак,17.04.2020,1482,906,81,48,50,1
Молдавия,22.06.2020,14363,8019,480,163,123,7
Бруней,28.05.2020,141,138,2,0,1,0
Боливия,31.10.2020,141757,111503,8725,126,325,10
Сент-Винсент и Гренадины,31.12.2020,121,98,0,6,9,0
Экваториальная Гвинея,24.07.2020,3071,842,51,0,0,0
Кабо-Верде,03.06.2020,477,238,5,11,1,0
Тунис,14.09.2020,7382,2175,117,747,184,10
Босния и Герцеговина,31.10.2020,50090,28083,1234,1953,213,22
Гватемала,27.06.2020,16397,3123,706,569,95,34
Чили,23.04.2020,12680,5804,168,516,418,8
Азербайджан,08.06.2020,7876,4377,93,323,228,5
Иран,22.01.2021,1360852,1151676,57225,6332,7127,75
Узбекистан,14.01.2021,77777,76276,618,61,79,0
Кот-д’Ивуар,02.02.2020,0,0,0,0,0,0
Вьетнам,15.02.2020,16,7,0,0,0,0
Сингапур,25.01.2021,59352,59066,29,44,25,0
Сан-Томе и Принсипи,22.04.2020,4,0,0,0,0,0
Бенин,22.06.2020,807,253,13,42,0,0
Намибия,07.03.2020,0,0,0,0,0,0
Венгрия,26.02.2020,0,0,0,0,0,0
Литва,26.01.2021,177934,121907,2688,768,2653,24
Грузия,12.08.2020,1278,1058,17,14,4,0
Куба,13.01.2021,16044,12478,158,550,226,3
Беларусь,17.12.2020,167731,145397,1299,1834,2024,8
Республика Конго,20.05.2020,420,132,15,0,0,0
Южная Корея,08.04.2020,10384,6776,200,53,82,8
Монако,10.08.2020,133,113,4,0,0,0
Южный Судан,05.04.2020,1,0,0,1,0,0
Мавритания,12.06.2020,1572,278,81,133,28,7
Словения,04.05.2020,1439,241,97,0,0,1
Дания,29.04.2020,9206,6558,443,157,245,9
ЮАР,21.04.2020,3465,1055,58,165,0,0
Тринидад и Тобаго,31.05.2020,117,108,8,0,0,0
Уганда,07.10.2020,9260,5588,85,178,131,1
Ливан,18.10.2020,62286,28062,520,1002,865,3
Папуа — Новая Гвинея,20.03.2020,1,0,0,1,0,0
Зимбабве,03.07.2020,625,176,7,8,3,0
Латвия,05.04.2020,533,1,1,24,0,0
Бурунди,05.09.2020,460,357,1,9,0,0
Катар,11.11.2020,134887,131926,233,224,193,0
Бразилия,27.03.2020,3417,6,92,432,0,15
Китай,02.03.2020,80177,44866,2915,205,2695,42
Северная Македония,10.05.2020,1642,1136,91,20,24,0
Таджикистан,12.06.2020,4902,3158,49,68,96,0
Люксембург,08.09.2020,6974,6266,124,14,140,0
Йемен,20.08.2020,1899,1058,541,7,3,2
Гайана,15.07.2020,313,156,18,5,0,1
Ботсвана,14.08.2020,1214,120,3,0,0,0
Гаити,08.10.2020,8838,7013,229,19,0,0
Белиз,29.05.2020,18,16,2,0,0,0
Суринам,18.09.2020,4691,4280,96,20,120,1
Ливия,06.08.2020,4879,652,107,404,12,8
Кения,28.01.2020,0,0,0,0,0,0
Мьянма,05.01.2021,127584,110805,2766,649,605,22
Непал,14.08.2020,25551,17077,99,594,240,4
Саудовская Аравия,12.07.2020,232259,167138,2223,2779,1742,42
Пакистан,21.12.2020,460672,410937,9474,1704,1852,82
Доминиканская Республика,18.05.2020,12725,6613,434,411,766,6
Сан-Марино,03.07.2020,698,656,42,0,0,0
Украина,31.10.2020,399330,165902,7399,9058,4183,164
Доминика,12.07.2020,18,18,0,0,0,0
Сент-Люсия,03.04.2020,13,1,0,0,0,0
Германия,15.01.2021,2023828,1664176,45705,8593,2782,498
Бутан,16.10.2020,316,298,0,0,2,0
Эсватини,18.11.2020,6144,5826,119,20,14,0
Марокко,21.04.2020,3209,393,145,163,43,2
Бруней,29.10.2020,148,143,3,0,0,0
Кипр,23.08.2020,1421,878,20,4,0,0
Таиланд,22.10.2020,3727,3518,59,8,4,0
Гренада,24.01.2020,0,0,0,0,0,0
Маврикий,08.09.2020,361,335,10,5,0,0
Франция,18.10.2020,940548,108014,33483,29837,0,85
Колумбия,29.03.2020,702,10,10,94,0,4
Кувейт,30.09.2020,105182,96688,610,614,639,3
Киргизия,24.05.2020,1403,980,14,38,23,0
Узбекистан,15.04.2020,1302,107,4,137,8,0
Бахрейн,04.12.2020,87600,85710,341,168,112,0
Косово и Метохия,22.02.2020,0,0,0,0,0,0
Россия,15.08.2020,915808,727895,15585,5030,6422,118
Словакия,11.10.2020,19851,5631,61,1054,78,0
Лесото,04.05.2020,0,0,0,0,0,0
Вануату,04.01.2021,1,1,0,0,0,0
Либерия,06.01.2021,1779,1406,83,0,0,0
Руанда,21.01.2021,12170,7973,162,310,161,9
Алжир,03.08.2020,31972,21901,1239,507,482,8
Исландия,30.03.2020,1086,157,2,66,22,0
Папский Престол,03.06.2020,12,2,0,0,0,0
Нигерия,22.01.2020,0,0,0,0,0,0
Гвинея-Бисау,29.06.2020,1654,317,24,40,0,2
Соломоновы острова,16.04.2020,0,0,0,0,0,0
Норвегия,28.05.2020,8411,7727,236,10,0,1
США,06.03.2020,237,7,14,53,0,2
Камбоджа,07.10.2020,281,276,0,1,0,0
Уругвай,08.06.2020,845,738,23,0,8,0
Индонезия,18.04.2020,6248,631,535,325,24,15
Гайана,31.01.2020,0,0,0,0,0,0
Шри-Ланка,04.03.2020,1,1,0,0,0,0
Танзания,18.10.2020,509,183,21,0,0,0
Фиджи,03.08.2020,27,18,1,0,0,0
Сент-Китс и Невис,11.07.2020,17,15,0,0,0,0
Сьерра-Леоне,22.08.2020,1980,1545,69,8,3,0
Эфиопия,27.07.2020,14547,6386,228,579,170,5
Албания,27.07.2020,4880,2745,144,117,63,6
Micronesia,17.09.2020,0,0,0,0,0,0
Австралия,04.11.2020,27630,25418,907,8,11,0
Латвия,24.01.2021,61008,48134,1111,512,0,14
Бельгия,28.06.2020,61295,16941,9732,86,0,0
ОАЭ,27.07.2020,59177,52510,345,264,328,1
Чехия,23.09.2020,55464,26709,555,2306,558,24
Мьянма,21.03.2020,0,0,0,0,0,0
Иордания,14.07.2020,1198,1013,10,15,5,0
Мальдивы,10.12.2020,13308,12621,47,34,30,0
Хорватия,12.02.2020,0,0,0,0,0,0
Мали,09.02.2020,0,0,0,0,0,0
Индия,27.12.2020,10207871,9782669,147901,20021,21131,279
Болгария,05.05.2020,1704,342,80,52,21,2
Западный берег реки Иордан,02.03.2020,0,0,0,0,0,0
Судно "Diamond Princess",02.04.2020,712,619,11,0,16,0
Лаос,11.10.2020,23,22,0,0,0,0
Мавритания,17.11.2020,7994,7550,165,15,14,0
Вануату,07.03.2020,0,0,0,0,0,0
Либерия,05.03.2020,0,0,0,0,0,0
Ангола,01.11.2020,11035,4920,286,230,397,2
Монголия,13.08.2020,297,269,0,0,0,0
Польша,16.05.2020,18257,7175,915,241,257,8
Греция,17.10.2020,24932,16437,500,482,0,10
Эквадор,17.07.2020,72444,31404,5250,1079,144,43
Египет,11.12.2020,120611,104499,6877,464,218,23
Япония,06.04.2020,4110,575,96,234,61,3
Сейшельские острова,13.10.2020,148,144,0,0,0,0
Уругвай,06.12.2020,7303,5062,82,338,116,1
Норвегия,17.12.2020,42776,17998,404,464,0,2
США,05.01.2021,21139547,0,357402,233526,0,3750
Нигерия,10.08.2020,46867,33346,950,290,160,5
Соломоновы острова,25.11.2020,17,5,0,0,0,0
Гвинея,19.09.2020,10286,9681,63,55,21,0
Папский Престол,11.12.2020,27,15,0,0,0,0
Алжир,29.01.2020,0,0,0,0,0,0
Великобритания,24.09.2020,418889,2282,41991,6644,35,40
Мальта,06.03.2020,0,0,0,0,0,0
Марокко,20.11.2020,316260,262212,5182,4706,4220,92
Швеция,14.05.2020,29415,0,3529,660,0,69
Парагвай,21.08.2020,12536,7007,182,719,224,12
Черногория,04.12.2020,37467,26414,522,535,548,6
Эсватини,23.04.2020,31,8,1,0,0,0
Германия,25.02.2020,17,14,0,1,0,0
Гондурас,21.06.2020,12769,1293,363,463,18,5
Украина,11.05.2020,15648,3288,408,416,228,17
Косово и Метохия,18.01.2021,55851,49271,1410,0,0,0
Камерун,01.09.2020,19409,17651,414,267,0,3
Судан,21.08.2020,12682,6476,812,59,20,0
Бахрейн,10.06.2020,16200,11109,31,469,503,2
Замбия,22.12.2020,18881,17890,379,113,72,4
Канада,19.08.2020,125408,111559,9124,324,467,6
Мадагаскар,15.12.2020,17587,16992,259,0,0,0
Киргизия,21.12.2020,79254,73005,1331,0,0,0
Панама,17.06.2020,22597,13774,470,635,0,13
Сомали,26.09.2020,3588,2943,99,123,66,1
Джибути,05.07.2020,4792,4593,55,56,13,0
Гренада,08.08.2020,24,23,0,0,0,0
Казахстан,27.08.2020,127664,100509,1781,202,5796,0
Мексика,19.06.2020,170485,126438,20394,5030,4258,647
Мали,23.07.2020,2494,1889,123,0,20,0
Ямайка,25.07.2020,837,711,10,6,0,0
Хорватия,28.01.2021,230978,222862,4943,619,466,30
Коморские острова,04.10.2020,487,466,7,0,0,0
Барбадос,05.10.2020,200,182,7,1,0,0
Новая Зеландия,07.04.2020,1160,241,1,54,65,0
Испания,04.10.2020,789932,150376,32086,0,0,0
Малави,04.10.2020,5786,4541,179,3,2,0
Нигер,09.04.2020,410,40,11,68,12,0
Португалия,20.12.2020,374121,297233,6134,3334,2419,71
Болгария,06.11.2020,72184,23436,1576,3839,727,58
Западный берег реки Иордан,09.01.2021,146701,130102,1583,627,1202,24
Того,26.03.2020,23,1,0,0,0,0
Индия,18.05.2020,100328,39233,3156,4630,2438,131
Австралия,07.05.2020,6913,6078,97,19,47,0
Венесуэла,05.10.2020,79117,69832,658,683,915,5
Албания,05.02.2020,0,0,0,0,0,0
Эфиопия,05.02.2020,0,0,0,0,0,0
Фиджи,29.01.2020,0,0,0,0,0,0
Индонезия,23.11.2020,502110,422386,16002,4442,4198,118
Шри-Ланка,07.01.2021,46780,39661,222,532,638,3
Мальдивы,04.06.2020,1872,648,7,22,4,0
ОАЭ,05.02.2020,5,0,0,0,0,0
Гамбия,21.03.2020,1,0,0,0,0,0
Грузия,26.03.2020,79,11,0,4,1,0
Хорватия,09.03.2020,12,0,0,0,0,0
